pid,survived,honor,sex,clare,age,fare,origin,cabin,alone
156,0,mr,male,4,51,41,eng,0,False
167,1,mrs,female,4,50,41,eng,1,False
169,0,mr,male,4,50,40,eng,0,True
171,0,mr,male,4,51,40,other,1,True
175,0,mr,male,4,51,40,eng,1,True
178,0,miss,female,4,51,40,eng,1,True
184,1,master,male,4,13,40,eng,1,False
186,0,mr,male,4,50,41,eng,1,True
188,1,mr,male,4,50,40,eng,0,True
194,1,master,male,4,13,40,other,1,False
195,1,mrs,female,4,50,40,eng,1,True
196,1,miss,female,4,51,41,other,1,True
210,1,mr,male,4,50,40,eng,1,True
212,1,miss,female,4,40,40,other,0,True
216,1,miss,female,4,32,41,other,1,False
218,0,mr,male,4,50,40,eng,0,False
219,1,miss,female,4,40,41,other,1,True
225,1,mr,male,4,40,41,eng,1,False
231,1,mrs,female,4,40,41,eng,1,False
237,0,mr,male,4,50,40,eng,0,False
238,1,lass,female,4,13,40,eng,0,False
246,0,mr,male,4,50,41,eng,1,False
249,1,mr,male,4,40,41,eng,1,False
250,0,mr,male,4,51,40,eng,0,False
253,0,mr,male,4,51,40,eng,1,True
257,1,mrs,female,4,51,41,eng,0,True
258,1,miss,female,4,32,41,eng,1,True
259,1,miss,female,4,40,41,eng,0,True
260,1,mrs,female,4,51,40,eng,0,False
263,0,mr,male,4,51,41,other,1,False
269,1,mrs,female,4,51,41,eng,1,False
270,1,miss,female,4,40,41,eng,1,True
271,0,mr,male,4,50,40,eng,0,True
274,0,mr,male,4,40,40,eng,1,False
276,1,miss,female,4,51,41,other,1,False
285,0,mr,male,4,50,40,eng,1,True
291,1,miss,female,4,32,41,eng,0,True
292,1,mrs,female,4,21,41,eng,1,False
296,0,mr,male,4,50,40,other,0,True
298,0,lass,female,4,13,41,eng,1,False
299,1,mr,male,4,50,40,other,1,True
300,1,mrs,female,4,51,41,eng,1,False
306,1,master,male,4,13,41,eng,1,False
307,1,miss,female,4,40,41,eng,0,True
308,1,mrs,female,4,21,41,eng,1,False
309,0,mr,male,4,32,40,eng,0,False
310,1,miss,female,4,32,41,eng,1,True
311,1,miss,female,4,26,41,eng,1,True
312,1,miss,female,4,21,41,eng,1,False
313,0,mrs,female,4,32,40,eng,0,False
315,0,mr,male,4,50,40,eng,0,False
317,1,mrs,female,4,26,40,other,0,False
319,1,miss,female,4,32,41,eng,1,False
320,1,mrs,female,4,50,41,other,1,False
324,1,mrs,female,4,26,40,eng,0,False
326,1,miss,female,4,40,41,other,1,True
330,1,miss,female,4,21,41,other,1,False
332,0,mr,male,4,50,40,eng,1,True
333,0,mr,male,4,40,41,eng,1,False
335,1,mrs,female,4,50,41,eng,0,False
337,0,mr,male,4,32,41,eng,1,False
338,1,miss,female,4,50,41,eng,1,True
340,0,mr,male,4,50,40,eng,1,True
341,1,master,male,4,13,40,other,1,False
342,1,miss,female,4,26,41,eng,1,False
352,0,mr,male,4,50,40,eng,1,True
357,1,miss,female,4,26,41,eng,1,False
362,0,mr,male,4,32,40,other,0,False
367,1,mrs,female,4,51,41,eng,1,False
370,1,mrs,female,4,26,41,other,1,True
371,1,mr,male,4,26,41,eng,1,False
374,0,mr,male,4,26,41,other,0,True
376,1,mrs,female,4,50,41,eng,0,False
378,0,mr,male,4,32,41,eng,1,False
381,1,miss,female,4,50,41,other,0,True
384,1,mrs,female,4,40,41,eng,0,False
386,0,mr,male,4,21,41,eng,0,True
391,1,mr,male,4,40,41,eng,1,False
394,1,miss,female,4,26,41,eng,1,False
398,0,mr,male,4,50,40,eng,0,True
406,0,mr,male,4,40,40,other,0,False
413,1,miss,female,4,40,41,eng,1,False
417,1,mrs,female,4,40,40,eng,0,False
427,1,mrs,female,4,32,40,eng,0,False
428,1,miss,female,4,21,40,eng,0,True
431,1,mr,male,4,32,40,other,1,True
433,1,mrs,female,4,50,40,eng,0,False
435,0,mr,male,4,51,41,eng,1,False
436,1,miss,female,4,21,41,other,1,False
439,0,mr,male,4,51,41,eng,1,False
441,1,mrs,female,4,50,40,eng,0,False
446,1,master,male,4,13,41,eng,1,False
448,1,mr,male,4,40,40,other,0,True
450,1,mr,male,4,51,40,eng,1,True
451,0,mr,male,4,40,40,eng,0,False
453,0,mr,male,4,32,40,eng,1,True
454,1,mr,male,4,50,41,eng,1,False
457,0,mr,male,4,51,40,eng,1,True
458,1,mrs,female,4,40,41,eng,1,False
461,1,mr,male,4,50,40,eng,1,True
463,0,mr,male,4,50,40,eng,1,True
468,0,mr,male,4,51,40,eng,0,True
473,1,mrs,female,4,40,40,eng,0,False
476,0,mr,male,4,50,41,eng,1,True
477,0,mr,male,4,40,40,eng,0,False
485,1,mr,male,4,26,41,eng,1,False
487,1,mrs,female,4,40,41,eng,1,False
488,0,mr,male,4,51,40,eng,1,True
493,0,mr,male,4,51,40,eng,1,True
494,0,mr,male,4,51,41,other,0,True
497,1,miss,female,4,51,41,eng,1,False
499,0,mrs,female,4,26,41,eng,1,False
505,1,miss,female,4,21,41,eng,1,True
506,0,mr,male,4,21,41,eng,1,False
507,1,mrs,female,4,40,40,eng,0,False
508,1,mr,male,4,50,40,eng,0,True
513,1,mr,male,4,40,40,eng,1,True
514,1,mrs,female,4,51,41,eng,0,False
516,0,mr,male,4,50,40,eng,1,True
519,1,mrs,female,4,40,40,eng,0,False
521,1,miss,female,4,32,41,other,1,True
524,1,mrs,female,4,50,41,other,1,False
528,0,mr,male,4,50,41,eng,1,True
531,1,lass,female,4,13,40,other,0,False
536,1,lass,female,4,13,40,other,0,False
537,0,mr,male,4,50,40,eng,1,True
538,1,miss,female,4,32,41,other,0,True
540,1,miss,female,4,26,41,other,1,False
541,1,miss,female,4,40,41,eng,1,False
544,1,mr,male,4,40,40,eng,0,False
545,0,mr,male,4,51,41,eng,1,False
546,0,mr,male,4,51,40,eng,0,True
547,1,mrs,female,4,21,40,eng,0,False
550,1,master,male,4,13,40,eng,0,False
551,1,mr,male,4,21,41,eng,1,False
552,0,mr,male,4,32,40,other,0,True
556,0,mr,male,4,51,40,eng,0,True
557,1,mrs,female,4,50,40,other,1,False
558,0,mr,male,4,50,41,eng,0,True
559,1,mrs,female,4,40,41,other,1,False
572,1,mrs,female,4,51,41,eng,1,False
573,1,mr,male,4,40,40,eng,1,True
578,1,mrs,female,4,40,41,eng,1,False
581,1,miss,female,4,26,40,other,0,False
582,1,mrs,female,4,40,41,eng,1,False
583,0,mr,male,4,51,40,eng,0,True
584,0,mr,male,4,40,41,eng,1,True
586,1,miss,female,4,21,41,eng,1,False
588,1,mr,male,4,51,41,other,1,False
592,1,mrs,female,4,51,41,eng,1,False
595,0,mr,male,4,40,40,eng,0,False
597,1,miss,female,4,40,40,eng,0,True
600,1,mr,male,4,50,41,other,1,False
601,1,mrs,female,4,26,40,eng,0,False
603,0,mr,male,4,50,41,eng,0,True
605,1,mr,male,4,40,40,eng,0,True
608,1,mr,male,4,32,40,eng,0,True
609,1,mrs,female,4,26,41,eng,0,False
610,1,miss,female,4,50,41,eng,1,True
616,1,miss,female,4,26,41,eng,0,False
619,1,lass,female,4,13,40,other,1,False
622,1,mr,male,4,50,41,eng,1,False
626,0,mr,male,4,51,40,eng,1,True
628,1,miss,female,4,26,41,other,1,True
631,1,mr,male,4,51,40,eng,1,True
633,1,mr,male,4,40,40,other,1,True
638,0,mr,male,4,32,40,eng,0,False
642,1,miss,female,4,26,41,eng,1,True
646,1,mr,male,4,50,41,eng,1,False
648,1,mr,male,4,51,40,other,1,True
652,1,miss,female,4,21,40,eng,0,False
656,0,mr,male,4,26,41,eng,0,False
660,0,mr,male,4,51,41,eng,1,False
661,1,mr,male,4,51,41,eng,0,False
663,0,mr,male,4,50,40,eng,1,True
666,0,mr,male,4,40,41,eng,0,False
670,1,mrs,female,4,40,41,eng,1,False
671,1,mrs,female,4,50,40,eng,0,False
672,0,mr,male,4,32,41,eng,1,False
680,1,mr,male,4,40,41,eng,1,False
682,1,mr,male,4,32,41,other,1,True
685,0,mr,male,4,51,40,eng,0,False
686,0,mr,male,4,26,41,eng,0,False
690,1,miss,female,4,21,41,other,1,False
691,1,mr,male,4,32,41,eng,1,False
695,0,mr,male,4,51,40,eng,0,True
699,0,mr,male,4,50,41,eng,1,False
701,1,mrs,female,4,21,41,eng,1,False
702,1,mr,male,4,40,40,eng,1,True
706,0,mr,male,4,40,40,eng,0,True
708,1,mr,male,4,50,40,eng,1,True
709,1,miss,female,4,26,41,eng,0,True
711,1,miss,female,4,26,41,other,1,True
712,0,mr,male,4,50,40,eng,1,True
713,1,mr,male,4,50,41,eng,1,False
717,1,miss,female,4,40,41,other,1,True
721,1,lass,female,4,13,40,eng,0,False
725,1,mr,male,4,32,41,eng,1,False
727,1,mrs,female,4,32,40,eng,0,False
729,0,mr,male,4,26,40,other,0,False
731,1,miss,female,4,32,41,other,1,True
738,1,mr,male,4,40,41,other,1,True
741,1,mr,male,4,50,40,eng,1,True
742,0,mr,male,4,40,41,eng,1,False
743,1,miss,female,4,26,41,eng,1,False
746,0,mr,male,4,51,41,eng,1,False
749,0,mr,male,4,21,41,eng,1,False
751,1,lass,female,4,13,40,eng,0,False
755,1,mrs,female,4,50,41,eng,0,False
760,1,mrs,female,4,40,41,other,1,True
764,1,mrs,female,4,40,41,eng,1,False
766,1,mrs,female,4,51,41,eng,1,False
767,0,mr,male,4,50,40,eng,0,True
775,1,mrs,female,4,51,40,eng,0,False
780,1,mrs,female,4,50,41,eng,1,False
782,1,mrs,female,4,21,41,eng,1,False
783,0,mr,male,4,32,40,eng,1,True
790,0,mr,male,4,50,41,eng,1,True
792,0,mr,male,4,21,40,eng,0,True
794,0,mr,male,4,50,40,eng,0,True
797,1,mr,female,4,50,40,eng,1,True
802,1,mrs,female,4,32,40,eng,0,False
803,1,master,male,4,13,41,eng,1,False
810,1,mrs,female,4,40,41,eng,1,False
818,0,mr,male,4,32,40,eng,0,False
821,1,mrs,female,4,51,41,eng,1,False
828,1,master,male,4,13,40,eng,0,False
830,1,mrs,female,4,51,41,eng,1,True
836,1,miss,female,4,40,41,other,1,False
840,1,mr,male,4,50,40,other,1,True
843,1,miss,female,4,32,40,other,0,True
849,0,mr,male,4,32,40,eng,0,False
850,1,mrs,female,4,40,41,eng,1,False
854,1,miss,female,4,21,40,eng,1,False
855,0,mrs,female,4,50,40,eng,0,False
857,1,mrs,female,4,50,41,eng,0,False
858,1,mr,male,4,51,40,eng,1,True
863,1,mrs,female,4,50,40,eng,1,True
868,0,mr,male,4,32,41,eng,1,True
872,1,mrs,female,4,50,41,eng,1,False
875,1,mrs,female,4,32,40,eng,0,False
880,1,mrs,female,4,51,41,eng,1,False
881,1,mrs,female,4,26,40,eng,0,False
888,1,miss,female,4,21,40,eng,1,True
890,1,mr,male,4,32,40,other,1,True
